case_id,ct_path,infection_mask_path,lung_mask_path,lung_infection_mask_path,has_infection_mask,has_lung_mask,has_lung_infection_mask
radiopaedia_10_85902_1-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-10_85902_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_10_85902_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_10_85902_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_10_85902_1-dcm.nii,False,False,False
radiopaedia_10_85902_3-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-10_85902_3-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_10_85902_3-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_10_85902_3-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_10_85902_3-dcm.nii,False,False,False
radiopaedia_14_85914_0-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-14_85914_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_14_85914_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_14_85914_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_14_85914_0-dcm.nii,False,False,False
radiopaedia_27_86410_0-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-27_86410_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_27_86410_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_27_86410_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_27_86410_0-dcm.nii,False,False,False
radiopaedia_29_86490_1-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-29_86490_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_29_86490_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_29_86490_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_29_86490_1-dcm.nii,False,False,False
radiopaedia_29_86491_1-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-29_86491_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_29_86491_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_29_86491_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_29_86491_1-dcm.nii,False,False,False
radiopaedia_36_86526_0-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-36_86526_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_36_86526_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_36_86526_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_36_86526_0-dcm.nii,False,False,False
radiopaedia_40_86625_0-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-40_86625_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_40_86625_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_40_86625_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_40_86625_0-dcm.nii,False,False,False
radiopaedia_4_85506_1-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-4_85506_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_4_85506_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_4_85506_1-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_4_85506_1-dcm.nii,False,False,False
radiopaedia_7_85703_0-dcm,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/ct_scans/radiopaedia_org_covid-19-pneumonia-7_85703_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/infection_mask/radiopaedia_7_85703_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_mask/radiopaedia_7_85703_0-dcm.nii,/kaggle/input/datasets/andrewmvd/covid19-ct-scans/lung_and_infection_mask/radiopaedia_7_85703_0-dcm.nii,False,False,False
