case_id,slice_idx,image_path,lung_mask_path,old_lung_pixels,new_lung_pixels,lesion_pixels
study_0255,22,data/dataset2_mosmed/processed/images/study_0255_slice_022.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_022.npy,62500,10427,670
study_0255,23,data/dataset2_mosmed/processed/images/study_0255_slice_023.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_023.npy,62500,10457,946
study_0255,24,data/dataset2_mosmed/processed/images/study_0255_slice_024.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_024.npy,62500,9827,659
study_0255,25,data/dataset2_mosmed/processed/images/study_0255_slice_025.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_025.npy,62500,9314,448
study_0255,26,data/dataset2_mosmed/processed/images/study_0255_slice_026.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_026.npy,62500,8677,42
study_0255,27,data/dataset2_mosmed/processed/images/study_0255_slice_027.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_027.npy,62500,8284,0
study_0255,28,data/dataset2_mosmed/processed/images/study_0255_slice_028.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_028.npy,62500,10530,33
study_0255,29,data/dataset2_mosmed/processed/images/study_0255_slice_029.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_029.npy,62500,8406,138
study_0255,30,data/dataset2_mosmed/processed/images/study_0255_slice_030.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_030.npy,62500,6076,92
study_0255,31,data/dataset2_mosmed/processed/images/study_0255_slice_031.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_031.npy,62500,4109,1
study_0255,32,data/dataset2_mosmed/processed/images/study_0255_slice_032.npy,data/dataset2_mosmed/processed/lung_masks/study_0255_slice_032.npy,62500,3117,0
study_0256,3,data/dataset2_mosmed/processed/images/study_0256_slice_003.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_003.npy,23367,1648,0
study_0256,4,data/dataset2_mosmed/processed/images/study_0256_slice_004.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_004.npy,23174,2290,0
study_0256,5,data/dataset2_mosmed/processed/images/study_0256_slice_005.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_005.npy,23203,2981,26
study_0256,6,data/dataset2_mosmed/processed/images/study_0256_slice_006.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_006.npy,23365,2735,149
study_0256,7,data/dataset2_mosmed/processed/images/study_0256_slice_007.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_007.npy,23644,3813,353
study_0256,8,data/dataset2_mosmed/processed/images/study_0256_slice_008.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_008.npy,23915,5217,389
study_0256,9,data/dataset2_mosmed/processed/images/study_0256_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_009.npy,24304,6612,78
study_0256,10,data/dataset2_mosmed/processed/images/study_0256_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_010.npy,28671,9303,30
study_0256,11,data/dataset2_mosmed/processed/images/study_0256_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_011.npy,30297,11677,244
study_0256,12,data/dataset2_mosmed/processed/images/study_0256_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_012.npy,32460,12346,176
study_0256,13,data/dataset2_mosmed/processed/images/study_0256_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_013.npy,24845,15843,0
study_0256,14,data/dataset2_mosmed/processed/images/study_0256_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_014.npy,25920,17146,8
study_0256,15,data/dataset2_mosmed/processed/images/study_0256_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_015.npy,20497,16896,68
study_0256,16,data/dataset2_mosmed/processed/images/study_0256_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_016.npy,22391,16664,0
study_0256,17,data/dataset2_mosmed/processed/images/study_0256_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_017.npy,22080,20408,0
study_0256,18,data/dataset2_mosmed/processed/images/study_0256_slice_018.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_018.npy,21618,19115,211
study_0256,19,data/dataset2_mosmed/processed/images/study_0256_slice_019.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_019.npy,21315,19767,170
study_0256,20,data/dataset2_mosmed/processed/images/study_0256_slice_020.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_020.npy,21211,19751,0
study_0256,21,data/dataset2_mosmed/processed/images/study_0256_slice_021.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_021.npy,29770,19971,50
study_0256,22,data/dataset2_mosmed/processed/images/study_0256_slice_022.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_022.npy,29557,20586,80
study_0256,23,data/dataset2_mosmed/processed/images/study_0256_slice_023.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_023.npy,29284,20547,177
study_0256,24,data/dataset2_mosmed/processed/images/study_0256_slice_024.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_024.npy,29099,20192,164
study_0256,25,data/dataset2_mosmed/processed/images/study_0256_slice_025.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_025.npy,28161,19334,594
study_0256,26,data/dataset2_mosmed/processed/images/study_0256_slice_026.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_026.npy,28026,18780,1069
study_0256,27,data/dataset2_mosmed/processed/images/study_0256_slice_027.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_027.npy,27988,18738,1238
study_0256,28,data/dataset2_mosmed/processed/images/study_0256_slice_028.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_028.npy,27317,16634,1178
study_0256,29,data/dataset2_mosmed/processed/images/study_0256_slice_029.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_029.npy,26784,16465,1163
study_0256,30,data/dataset2_mosmed/processed/images/study_0256_slice_030.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_030.npy,26070,14482,1141
study_0256,31,data/dataset2_mosmed/processed/images/study_0256_slice_031.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_031.npy,24951,13736,892
study_0256,32,data/dataset2_mosmed/processed/images/study_0256_slice_032.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_032.npy,24327,11056,586
study_0256,33,data/dataset2_mosmed/processed/images/study_0256_slice_033.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_033.npy,25280,8738,184
study_0256,34,data/dataset2_mosmed/processed/images/study_0256_slice_034.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_034.npy,26247,6194,0
study_0256,35,data/dataset2_mosmed/processed/images/study_0256_slice_035.npy,data/dataset2_mosmed/processed/lung_masks/study_0256_slice_035.npy,27317,3608,0
study_0257,13,data/dataset2_mosmed/processed/images/study_0257_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_013.npy,21503,18761,0
study_0257,14,data/dataset2_mosmed/processed/images/study_0257_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_014.npy,22812,19590,0
study_0257,15,data/dataset2_mosmed/processed/images/study_0257_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_015.npy,22823,19179,123
study_0257,16,data/dataset2_mosmed/processed/images/study_0257_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_016.npy,22944,19379,239
study_0257,17,data/dataset2_mosmed/processed/images/study_0257_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_017.npy,23035,19458,383
study_0257,18,data/dataset2_mosmed/processed/images/study_0257_slice_018.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_018.npy,22746,19011,547
study_0257,19,data/dataset2_mosmed/processed/images/study_0257_slice_019.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_019.npy,22880,18427,502
study_0257,20,data/dataset2_mosmed/processed/images/study_0257_slice_020.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_020.npy,31509,19711,129
study_0257,21,data/dataset2_mosmed/processed/images/study_0257_slice_021.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_021.npy,31301,17384,0
study_0257,22,data/dataset2_mosmed/processed/images/study_0257_slice_022.npy,data/dataset2_mosmed/processed/lung_masks/study_0257_slice_022.npy,31473,20412,0
study_0258,9,data/dataset2_mosmed/processed/images/study_0258_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_009.npy,62500,7382,0
study_0258,10,data/dataset2_mosmed/processed/images/study_0258_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_010.npy,62500,7734,0
study_0258,11,data/dataset2_mosmed/processed/images/study_0258_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_011.npy,62500,8205,8
study_0258,12,data/dataset2_mosmed/processed/images/study_0258_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_012.npy,62500,10333,26
study_0258,13,data/dataset2_mosmed/processed/images/study_0258_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_013.npy,62500,12083,0
study_0258,14,data/dataset2_mosmed/processed/images/study_0258_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_014.npy,62500,12951,0
study_0258,15,data/dataset2_mosmed/processed/images/study_0258_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_015.npy,62500,14113,118
study_0258,16,data/dataset2_mosmed/processed/images/study_0258_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_016.npy,62500,14306,263
study_0258,17,data/dataset2_mosmed/processed/images/study_0258_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_017.npy,62500,19708,749
study_0258,18,data/dataset2_mosmed/processed/images/study_0258_slice_018.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_018.npy,62500,19466,749
study_0258,19,data/dataset2_mosmed/processed/images/study_0258_slice_019.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_019.npy,62500,19284,693
study_0258,20,data/dataset2_mosmed/processed/images/study_0258_slice_020.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_020.npy,62500,19368,563
study_0258,21,data/dataset2_mosmed/processed/images/study_0258_slice_021.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_021.npy,44905,19410,527
study_0258,22,data/dataset2_mosmed/processed/images/study_0258_slice_022.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_022.npy,44860,19469,418
study_0258,23,data/dataset2_mosmed/processed/images/study_0258_slice_023.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_023.npy,44412,19024,262
study_0258,24,data/dataset2_mosmed/processed/images/study_0258_slice_024.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_024.npy,44211,18983,31
study_0258,25,data/dataset2_mosmed/processed/images/study_0258_slice_025.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_025.npy,31668,18592,165
study_0258,26,data/dataset2_mosmed/processed/images/study_0258_slice_026.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_026.npy,31883,18317,358
study_0258,27,data/dataset2_mosmed/processed/images/study_0258_slice_027.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_027.npy,32059,17651,389
study_0258,28,data/dataset2_mosmed/processed/images/study_0258_slice_028.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_028.npy,32336,17005,331
study_0258,29,data/dataset2_mosmed/processed/images/study_0258_slice_029.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_029.npy,32614,11515,206
study_0258,30,data/dataset2_mosmed/processed/images/study_0258_slice_030.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_030.npy,32909,16326,86
study_0258,31,data/dataset2_mosmed/processed/images/study_0258_slice_031.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_031.npy,33343,15583,0
study_0258,32,data/dataset2_mosmed/processed/images/study_0258_slice_032.npy,data/dataset2_mosmed/processed/lung_masks/study_0258_slice_032.npy,33587,10727,0
study_0259,12,data/dataset2_mosmed/processed/images/study_0259_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_012.npy,62500,6719,0
study_0259,13,data/dataset2_mosmed/processed/images/study_0259_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_013.npy,62500,6984,0
study_0259,14,data/dataset2_mosmed/processed/images/study_0259_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_014.npy,62500,8311,194
study_0259,15,data/dataset2_mosmed/processed/images/study_0259_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_015.npy,62500,9774,0
study_0259,16,data/dataset2_mosmed/processed/images/study_0259_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_016.npy,62500,13675,657
study_0259,17,data/dataset2_mosmed/processed/images/study_0259_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_017.npy,62500,13324,642
study_0259,18,data/dataset2_mosmed/processed/images/study_0259_slice_018.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_018.npy,62500,13249,440
study_0259,19,data/dataset2_mosmed/processed/images/study_0259_slice_019.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_019.npy,62500,12972,190
study_0259,20,data/dataset2_mosmed/processed/images/study_0259_slice_020.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_020.npy,37710,12720,266
study_0259,21,data/dataset2_mosmed/processed/images/study_0259_slice_021.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_021.npy,43030,16234,435
study_0259,22,data/dataset2_mosmed/processed/images/study_0259_slice_022.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_022.npy,31165,15892,201
study_0259,23,data/dataset2_mosmed/processed/images/study_0259_slice_023.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_023.npy,31266,15619,167
study_0259,24,data/dataset2_mosmed/processed/images/study_0259_slice_024.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_024.npy,31314,15213,0
study_0259,25,data/dataset2_mosmed/processed/images/study_0259_slice_025.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_025.npy,31427,10912,0
study_0259,26,data/dataset2_mosmed/processed/images/study_0259_slice_026.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_026.npy,31471,10430,14
study_0259,27,data/dataset2_mosmed/processed/images/study_0259_slice_027.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_027.npy,31234,9542,0
study_0259,28,data/dataset2_mosmed/processed/images/study_0259_slice_028.npy,data/dataset2_mosmed/processed/lung_masks/study_0259_slice_028.npy,31104,8639,0
study_0260,8,data/dataset2_mosmed/processed/images/study_0260_slice_008.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_008.npy,12028,5912,0
study_0260,9,data/dataset2_mosmed/processed/images/study_0260_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_009.npy,12347,6880,0
study_0260,10,data/dataset2_mosmed/processed/images/study_0260_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_010.npy,13430,8299,238
study_0260,11,data/dataset2_mosmed/processed/images/study_0260_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_011.npy,14536,11440,778
study_0260,12,data/dataset2_mosmed/processed/images/study_0260_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_012.npy,22494,18074,612
study_0260,13,data/dataset2_mosmed/processed/images/study_0260_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_013.npy,17183,15950,1380
study_0260,14,data/dataset2_mosmed/processed/images/study_0260_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_014.npy,19147,17392,1388
study_0260,15,data/dataset2_mosmed/processed/images/study_0260_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_015.npy,19230,17099,1275
study_0260,16,data/dataset2_mosmed/processed/images/study_0260_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_016.npy,19244,16851,757
study_0260,17,data/dataset2_mosmed/processed/images/study_0260_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_017.npy,19025,16593,121
study_0260,18,data/dataset2_mosmed/processed/images/study_0260_slice_018.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_018.npy,18594,16237,0
study_0260,19,data/dataset2_mosmed/processed/images/study_0260_slice_019.npy,data/dataset2_mosmed/processed/lung_masks/study_0260_slice_019.npy,18382,15834,0
study_0261,2,data/dataset2_mosmed/processed/images/study_0261_slice_002.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_002.npy,17306,5698,0
study_0261,3,data/dataset2_mosmed/processed/images/study_0261_slice_003.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_003.npy,19989,6744,0
study_0261,4,data/dataset2_mosmed/processed/images/study_0261_slice_004.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_004.npy,21731,8073,76
study_0261,5,data/dataset2_mosmed/processed/images/study_0261_slice_005.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_005.npy,19523,14676,64
study_0261,6,data/dataset2_mosmed/processed/images/study_0261_slice_006.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_006.npy,22321,17833,227
study_0261,7,data/dataset2_mosmed/processed/images/study_0261_slice_007.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_007.npy,26600,21746,0
study_0261,8,data/dataset2_mosmed/processed/images/study_0261_slice_008.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_008.npy,28770,23086,0
study_0261,9,data/dataset2_mosmed/processed/images/study_0261_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_009.npy,30461,24329,0
study_0261,10,data/dataset2_mosmed/processed/images/study_0261_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_010.npy,31225,24451,0
study_0261,11,data/dataset2_mosmed/processed/images/study_0261_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_011.npy,22872,20240,57
study_0261,12,data/dataset2_mosmed/processed/images/study_0261_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_012.npy,22734,20106,486
study_0261,13,data/dataset2_mosmed/processed/images/study_0261_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_013.npy,21211,19933,564
study_0261,14,data/dataset2_mosmed/processed/images/study_0261_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_014.npy,20394,20057,385
study_0261,15,data/dataset2_mosmed/processed/images/study_0261_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_015.npy,19922,20095,35
study_0261,16,data/dataset2_mosmed/processed/images/study_0261_slice_016.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_016.npy,19603,20213,0
study_0261,17,data/dataset2_mosmed/processed/images/study_0261_slice_017.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_017.npy,19504,20306,0
study_0261,18,data/dataset2_mosmed/processed/images/study_0261_slice_018.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_018.npy,28456,23587,0
study_0261,19,data/dataset2_mosmed/processed/images/study_0261_slice_019.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_019.npy,28021,23152,0
study_0261,20,data/dataset2_mosmed/processed/images/study_0261_slice_020.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_020.npy,28128,23058,151
study_0261,21,data/dataset2_mosmed/processed/images/study_0261_slice_021.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_021.npy,27927,22646,0
study_0261,22,data/dataset2_mosmed/processed/images/study_0261_slice_022.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_022.npy,27755,22174,0
study_0261,23,data/dataset2_mosmed/processed/images/study_0261_slice_023.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_023.npy,27748,21849,0
study_0261,24,data/dataset2_mosmed/processed/images/study_0261_slice_024.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_024.npy,27270,20988,0
study_0261,25,data/dataset2_mosmed/processed/images/study_0261_slice_025.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_025.npy,26706,20157,119
study_0261,26,data/dataset2_mosmed/processed/images/study_0261_slice_026.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_026.npy,26305,19299,84
study_0261,27,data/dataset2_mosmed/processed/images/study_0261_slice_027.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_027.npy,26967,19432,0
study_0261,28,data/dataset2_mosmed/processed/images/study_0261_slice_028.npy,data/dataset2_mosmed/processed/lung_masks/study_0261_slice_028.npy,26158,17931,0
study_0262,4,data/dataset2_mosmed/processed/images/study_0262_slice_004.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_004.npy,23779,5783,0
study_0262,5,data/dataset2_mosmed/processed/images/study_0262_slice_005.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_005.npy,24753,5836,0
study_0262,6,data/dataset2_mosmed/processed/images/study_0262_slice_006.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_006.npy,22240,6378,36
study_0262,7,data/dataset2_mosmed/processed/images/study_0262_slice_007.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_007.npy,22001,6502,161
study_0262,8,data/dataset2_mosmed/processed/images/study_0262_slice_008.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_008.npy,21760,6720,272
study_0262,9,data/dataset2_mosmed/processed/images/study_0262_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_009.npy,21534,7170,348
study_0262,10,data/dataset2_mosmed/processed/images/study_0262_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_010.npy,21333,9756,318
study_0262,11,data/dataset2_mosmed/processed/images/study_0262_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_011.npy,21151,11020,323
study_0262,12,data/dataset2_mosmed/processed/images/study_0262_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_012.npy,21706,12161,167
study_0262,13,data/dataset2_mosmed/processed/images/study_0262_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_013.npy,23999,13680,0
study_0262,14,data/dataset2_mosmed/processed/images/study_0262_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0262_slice_014.npy,24760,19641,0
study_0263,0,data/dataset2_mosmed/processed/images/study_0263_slice_000.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_000.npy,62500,8227,0
study_0263,1,data/dataset2_mosmed/processed/images/study_0263_slice_001.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_001.npy,62500,8016,207
study_0263,2,data/dataset2_mosmed/processed/images/study_0263_slice_002.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_002.npy,62500,8289,376
study_0263,3,data/dataset2_mosmed/processed/images/study_0263_slice_003.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_003.npy,62500,8672,380
study_0263,4,data/dataset2_mosmed/processed/images/study_0263_slice_004.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_004.npy,62500,9783,107
study_0263,5,data/dataset2_mosmed/processed/images/study_0263_slice_005.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_005.npy,62500,10635,185
study_0263,6,data/dataset2_mosmed/processed/images/study_0263_slice_006.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_006.npy,62500,11746,720
study_0263,7,data/dataset2_mosmed/processed/images/study_0263_slice_007.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_007.npy,62500,12150,938
study_0263,8,data/dataset2_mosmed/processed/images/study_0263_slice_008.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_008.npy,62500,11733,319
study_0263,9,data/dataset2_mosmed/processed/images/study_0263_slice_009.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_009.npy,62500,12607,351
study_0263,10,data/dataset2_mosmed/processed/images/study_0263_slice_010.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_010.npy,62500,14631,135
study_0263,11,data/dataset2_mosmed/processed/images/study_0263_slice_011.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_011.npy,33124,14678,117
study_0263,12,data/dataset2_mosmed/processed/images/study_0263_slice_012.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_012.npy,25898,14911,72
study_0263,13,data/dataset2_mosmed/processed/images/study_0263_slice_013.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_013.npy,25804,14625,184
study_0263,14,data/dataset2_mosmed/processed/images/study_0263_slice_014.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_014.npy,25840,14638,101
study_0263,15,data/dataset2_mosmed/processed/images/study_0263_slice_015.npy,data/dataset2_mosmed/processed/lung_masks/study_0263_slice_015.npy,25971,14720,55
